,ppreg4,ppmarit5,ppeducat,D1G,SL1,ppemploy,ED5,SL7,B10,ppagecat,ppgender,ppethm
1917,South,Now married,College's degree,No,No,Not working,No response,No,0 - Not at all satisfied,75+,Male,White
1918,Northeast,Now married,College's degree,No,No,Working full-time,No response,No,2,45-54,Female,White
1919,Northeast,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,8,65-74,Male,White
1920,Midwest,Never married,Bachelor's degree or higher,"Yes, as a full-time student",Yes,Working full-time,No response,No response,4,25-34,Female,Hispanic
1921,South,Never married,Bachelor's degree or higher,No,No,Not working,No response,Yes,6,75+,Male,White
1922,Midwest,Now married,High school graduate,No,No,Working full-time,No response,No,7,45-54,Male,White
1923,Midwest,Never married,No high school diploma,No,No,Not working,No response,No,8,35-44,Female,White
1924,South,Divorced,High school graduate,No,No,Working full-time,Financial costs are somewhat larger,No,3,45-54,Male,Hispanic
1925,South,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,7,45-54,Female,White
1926,South,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,25-34,Male,Black
1927,Northeast,Now married,High school graduate,No,No,Not working,No response,No,4,75+,Female,White
1928,Northeast,Widowed,High school graduate,No,No,Not working,No response,No,5,65-74,Female,White
1929,West,Divorced,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,3,75+,Female,White
1930,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,9,65-74,Female,White
1931,Northeast,Widowed,College's degree,No,No,Not working,About the same,No,5,75+,Female,White
1932,West,Widowed,Bachelor's degree or higher,No,No,Not working,No response,No,9,65-74,Female,White
1933,Northeast,Widowed,High school graduate,No,No,Not working,No response,No,5,75+,Male,White
1934,South,Divorced,College's degree,No,Yes,Working full-time,No response,No response,7,45-54,Female,Hispanic
1935,West,Divorced,High school graduate,No,Yes,Not working,Financial benefits are somewhat larger,No response,5,45-54,Female,White
1936,South,Now married,Bachelor's degree or higher,"Yes, as a part-time student",No,Working full-time,No response,No,8,25-34,Male,White
1937,West,Divorced,High school graduate,No,No,Working full-time,Financial benefits are much larger,Yes,8,45-54,Male,White
1938,South,Divorced,High school graduate,No,No,Working part-time,No response,No,5,65-74,Male,White
1939,South,Divorced,College's degree,No,No,Working part-time,Financial costs are much larger,No,6,65-74,Male,White
1940,Midwest,Now married,High school graduate,No,No,Not working,No response,No,8,75+,Male,White
1941,Northeast,Now married,High school graduate,No,No,Working full-time,No response,No,7,45-54,Male,Hispanic
1942,South,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,7,35-44,Male,White
1943,South,Now married,High school graduate,No,No,Not working,No response,No,6,75+,Male,White
1944,West,Now married,College's degree,No,No,Not working,About the same,No,4,75+,Female,White
1945,West,Separated,College's degree,No,No,Not working,Financial costs are somewhat larger,No,8,65-74,Female,White
1946,West,Now married,High school graduate,No,No,Working full-time,No response,No,9,55-64,Female,Hispanic
1947,South,Divorced,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,5,25-34,Female,Hispanic
1948,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,45-54,Male,White
1949,South,Never married,College's degree,No,Yes,Working full-time,Financial costs are much larger,No response,6,35-44,Female,Black
1950,South,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,9,25-34,Male,Other
1951,South,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,10 - Completely satisfied,55-64,Male,White
1952,West,Now married,College's degree,No,No,Working full-time,No response,No,4,35-44,Male,Hispanic
1953,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,7,55-64,Male,White
1954,Northeast,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,5,35-44,Female,Other
1955,Midwest,Now married,College's degree,No,No,Not working,Financial benefits are much larger,No,5,75+,Male,White
1956,West,Now married,High school graduate,No,No,Not working,About the same,No,5,35-44,Female,Black
1957,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,8,75+,Female,White
1958,West,Divorced,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,35-44,Female,White
1959,South,Now married,College's degree,No,Yes,Not working,About the same,No response,7,65-74,Male,White
1960,Northeast,Widowed,High school graduate,No,No,Not working,Financial benefits are much larger,No,7,45-54,Female,Black
1961,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,10 - Completely satisfied,65-74,Female,White
1962,Midwest,Now married,College's degree,No,No,Working full-time,No response,Yes,8,45-54,Male,White
1963,Midwest,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,4,65-74,Male,Hispanic
1964,South,Divorced,Bachelor's degree or higher,No,No,Working part-time,No response,No,8,75+,Female,White
1965,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,45-54,Female,Other
1966,Midwest,Now married,College's degree,No,No,Not working,About the same,No,6,55-64,Female,White
1967,Northeast,Now married,High school graduate,No,No,Working full-time,About the same,No,9,55-64,Female,White
1968,South,Now married,College's degree,No,Yes,Not working,No response,No response,3,55-64,Male,Black
1969,West,Widowed,High school graduate,No,Yes,Not working,Financial costs are much larger,No response,3,75+,Male,White
1970,Midwest,Divorced,High school graduate,"Yes, as a part-time student",No,Working part-time,About the same,Yes,5,45-54,Male,White
1971,Northeast,Never married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,9,25-34,Male,White
1972,Midwest,Now married,College's degree,No,No,Working full-time,No response,Yes,7,45-54,Male,White
1973,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,8,55-64,Female,White
1974,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,65-74,Male,White
1975,South,Now married,College's degree,No,No,Not working,No response,No,5,65-74,Female,White
1976,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,4,55-64,Female,White
1977,Northeast,Divorced,No high school diploma,No,No,Not working,No response,No,5,55-64,Male,White
1978,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,9,65-74,Female,White
1979,West,Never married,High school graduate,No,No,Working full-time,No response,No,5,35-44,Male,White
1980,South,Divorced,Bachelor's degree or higher,No,No,Working part-time,No response,No,4,75+,Female,White
1981,South,Now married,College's degree,No,No,Working full-time,Financial benefits are much larger,No,8,55-64,Male,Black
1982,South,Divorced,College's degree,No,No,Working full-time,About the same,No,7,65-74,Male,Black
1983,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,55-64,Male,White
1984,South,Now married,No high school diploma,No,No,Not working,No response,No,7,65-74,Male,White
1985,South,Now married,College's degree,No,No,Working full-time,About the same,No,10 - Completely satisfied,35-44,Male,White
1986,South,Never married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,3,25-34,Male,Black
1987,Northeast,Now married,College's degree,No,No,Not working,About the same,Yes,8,65-74,Male,Black
1988,West,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,7,35-44,Male,Other
1989,Northeast,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,6,45-54,Male,White
1990,South,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,8,45-54,Male,Hispanic
1991,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,7,75+,Male,Black
1992,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,35-44,Male,Hispanic
1993,West,Now married,Bachelor's degree or higher,"Yes, as a full-time student",No,Working full-time,No response,Yes,8,35-44,Female,Other
1994,West,Divorced,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,5,55-64,Male,Black
1995,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,6,35-44,Male,Hispanic
1996,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,55-64,Female,White
1997,South,Now married,College's degree,No,No,Not working,Financial benefits are much larger,No,8,65-74,Male,White
1998,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,7,75+,Male,White
1999,Northeast,Now married,College's degree,No,No,Not working,Financial costs are much larger,No,7,65-74,Male,White
2000,South,Widowed,College's degree,No,No,Not working,About the same,No,0 - Not at all satisfied,75+,Female,White
2001,South,Now married,No high school diploma,No,No,Working full-time,Financial costs are much larger,No,5,55-64,Female,White
2002,Midwest,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,10 - Completely satisfied,35-44,Female,Hispanic
2003,South,Now married,College's degree,No,No,Not working,About the same,No,8,65-74,Male,Hispanic
2004,West,Divorced,College's degree,No,No,Working full-time,About the same,No,6,65-74,Male,White
2005,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,10 - Completely satisfied,75+,Male,White
2006,South,Now married,College's degree,No,No,Not working,No response,No,6,65-74,Female,Other
2007,West,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,8,45-54,Female,Other
2008,Midwest,Widowed,High school graduate,No,No,Not working,No response,No,5,75+,Female,White
2009,West,Now married,College's degree,No,No,Not working,About the same,No,8,35-44,Female,White
2010,Northeast,Now married,High school graduate,No,No,Working full-time,No response,No,7,55-64,Male,White
2011,West,Never married,High school graduate,No,No,Working part-time,About the same,No,10 - Completely satisfied,35-44,Male,White
2012,West,Now married,College's degree,No,No,Not working,About the same,No,7,75+,Male,White
2013,South,Now married,High school graduate,No,No,Working full-time,About the same,No,4,65-74,Female,White
2014,South,Now married,College's degree,No,No,Not working,Financial costs are somewhat larger,No,10 - Completely satisfied,65-74,Female,White
2015,South,Separated,College's degree,No,No,Not working,No response,No,6,75+,Female,Black
2016,Northeast,Divorced,High school graduate,No,No,Not working,No response,No,2,65-74,Female,White
2017,West,Now married,College's degree,No,No,Not working,No response,No,5,25-34,Female,Hispanic
2018,Midwest,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,25-34,Male,White
2019,South,Now married,Bachelor's degree or higher,No,Yes,Working part-time,No response,No response,8,25-34,Female,White
2020,West,Never married,College's degree,No,No,Working part-time,No response,No,6,25-34,Male,White
2021,West,Divorced,College's degree,"Yes, as a part-time student",No,Working full-time,About the same,No,1,35-44,Female,Hispanic
2022,Midwest,Now married,High school graduate,No,No,Not working,No response,No,6,75+,Female,White
2023,Northeast,Never married,Bachelor's degree or higher,No,No,Working part-time,No response,No,8,75+,Male,White
2024,Midwest,Now married,High school graduate,No,No,Not working,Financial benefits are somewhat larger,Yes,7,55-64,Female,Black
2025,Northeast,Now married,High school graduate,No,No,Not working,No response,No,5,65-74,Male,White
2026,South,Now married,No high school diploma,"Yes, as a full-time student",No,Not working,About the same,No,9,35-44,Male,White
2027,Midwest,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,7,35-44,Male,White
2028,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,4,65-74,Female,White
2029,West,Now married,Bachelor's degree or higher,"Yes, as a full-time student",No,Working full-time,No response,No,9,25-34,Male,White
2030,Northeast,Divorced,College's degree,No,No,Working full-time,Financial costs are somewhat larger,No,10 - Completely satisfied,65-74,Female,White
2031,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,7,45-54,Female,Hispanic
2032,Northeast,Divorced,High school graduate,No,No,Working full-time,No response,No,5,55-64,Female,White
2033,Midwest,Now married,College's degree,No,No,Not working,No response,No,6,45-54,Female,Other
2034,South,Never married,Bachelor's degree or higher,No,No,Not working,No response,No,9,75+,Male,Hispanic
2035,Midwest,Now married,College's degree,No,No,Working full-time,No response,No,8,55-64,Male,White
2036,Midwest,Now married,College's degree,No,No,Working part-time,Financial benefits are somewhat larger,No,5,65-74,Male,White
2037,Midwest,Now married,High school graduate,No,No,Working part-time,No response,No,7,45-54,Female,White
2038,Northeast,Never married,High school graduate,No,No,Working full-time,No response,No,5,55-64,Male,White
2039,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,7,35-44,Male,White
2040,West,Never married,College's degree,"Yes, as a part-time student",No,Working part-time,No response,No,1,55-64,Male,White
2041,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,8,55-64,Female,Black
2042,Northeast,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,9,75+,Female,White
2043,South,Now married,High school graduate,No,No,Not working,No response,No,5,65-74,Female,White
2044,Northeast,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,7,75+,Male,White
2045,South,Now married,College's degree,No,No,Not working,Financial benefits are much larger,No,6,75+,Female,White
2046,South,Now married,High school graduate,No,No,Not working,No response,No,8,65-74,Male,White
2047,Northeast,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,35-44,Female,Other
2048,South,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,4,45-54,Female,White
2049,West,Now married,College's degree,No,Yes,Working full-time,Financial costs are much larger,No response,0 - Not at all satisfied,25-34,Male,White
2050,West,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,4,65-74,Male,Black
2051,Northeast,Never married,High school graduate,No,No,Not working,No response,No,0 - Not at all satisfied,35-44,Male,White
2052,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,6,45-54,Male,White
2053,South,Separated,No high school diploma,No,No,Not working,No response,No,7,65-74,Female,Black
2054,Midwest,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,8,65-74,Male,White
2055,West,Now married,College's degree,"Yes, as a part-time student",Yes,Working part-time,No response,No response,8,35-44,Female,White
2056,Midwest,Divorced,Bachelor's degree or higher,No,No,Working part-time,No response,No,5,65-74,Female,White
2057,South,Now married,High school graduate,No,No,Working part-time,Financial costs are much larger,No,4,55-64,Male,Hispanic
2058,West,Never married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,6,55-64,Female,Black
2059,South,Divorced,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,1,55-64,Male,Other
2060,Northeast,Now married,High school graduate,No,No,Not working,No response,No,7,75+,Female,White
2061,Midwest,Divorced,College's degree,No,No,Working full-time,No response,No,8,55-64,Female,White
2062,Northeast,Never married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,0 - Not at all satisfied,25-34,Female,Hispanic
2063,Northeast,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,7,35-44,Female,Hispanic
2064,Midwest,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,25-34,Male,White
2065,South,Now married,No high school diploma,No,No,Not working,No response,No,0 - Not at all satisfied,25-34,Female,White
2066,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,35-44,Male,White
2067,South,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,8,35-44,Female,White
2068,Midwest,Now married,College's degree,No,Yes,Not working,Financial benefits are much larger,No response,4,65-74,Female,Black
2069,South,Now married,High school graduate,No,No,Not working,No response,No,7,75+,Male,White
2070,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,2,45-54,Female,White
2071,South,Divorced,College's degree,No,No,Working part-time,No response,No,6,75+,Female,Black
2072,Northeast,Now married,High school graduate,No,No,Not working,No response,No,7,65-74,Female,White
2073,Northeast,Now married,Bachelor's degree or higher,No,Yes,Not working,No response,No response,10 - Completely satisfied,35-44,Female,White
2074,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,45-54,Male,Other
2075,South,Never married,Bachelor's degree or higher,No,No,Working part-time,No response,Yes,7,45-54,Female,White
2076,Midwest,Widowed,High school graduate,No,No,Not working,About the same,No,6,65-74,Female,White
2077,South,Now married,High school graduate,No,No,Not working,No response,No,8,75+,Male,Hispanic
2078,Northeast,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,45-54,Male,Other
2079,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,8,65-74,Female,White
2080,South,Now married,No high school diploma,No,No,Not working,No response,No,7,75+,Male,Hispanic
2081,South,Now married,College's degree,No,No,Working part-time,Financial costs are somewhat larger,No,8,65-74,Female,Hispanic
2082,West,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,5,55-64,Male,White
2083,South,Now married,High school graduate,No,No,Working full-time,No response,No,8,55-64,Female,White
2084,South,Now married,High school graduate,No,No,Not working,No response,No,8,65-74,Female,White
2085,Northeast,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,9,35-44,Male,White
2086,South,Now married,High school graduate,No,No,Not working,No response,No,8,75+,Female,White
2087,South,Now married,No high school diploma,No,No,Not working,No response,No,5,55-64,Male,White
2088,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,2,45-54,Female,White
2089,South,Never married,High school graduate,No,No,Not working,No response,No,9,65-74,Male,Black
2090,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,9,55-64,Female,White
2091,West,Now married,High school graduate,No,No,Not working,No response,No,10 - Completely satisfied,75+,Male,White
2092,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,8,65-74,Male,Hispanic
2093,Midwest,Now married,High school graduate,No,No,Working full-time,No response,No,7,55-64,Male,Black
2094,South,Never married,High school graduate,No,No,Working full-time,No response,No,5,45-54,Female,Black
2095,Northeast,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,2,75+,Male,White
2096,Northeast,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,5,45-54,Female,Other
2097,Midwest,Divorced,High school graduate,No,No,Not working,About the same,No,8,65-74,Female,White
2098,Northeast,Never married,High school graduate,No,No,Not working,Financial costs are much larger,Yes,3,35-44,Male,White
2099,South,Never married,College's degree,No,No,Not working,About the same,No,6,65-74,Female,Hispanic
2100,West,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,9,55-64,Female,Other
2101,Northeast,Now married,High school graduate,No,No,Not working,About the same,No,8,65-74,Female,White
2102,South,Divorced,Bachelor's degree or higher,No,No,Not working,No response,No,8,75+,Male,White
2103,South,Now married,High school graduate,No,No,Not working,No response,No,3,75+,Female,White
2104,Midwest,Now married,College's degree,No,No,Working full-time,About the same,No,8,35-44,Male,White
2105,South,Now married,High school graduate,No,No,Not working,No response,No,1,75+,Male,White
2106,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,7,35-44,Male,White
2107,Northeast,Never married,College's degree,"Yes, as a part-time student",Yes,Working full-time,About the same,No response,9,45-54,Female,Hispanic
2108,South,Divorced,High school graduate,No,No,Working full-time,No response,No,8,65-74,Female,White
2109,Northeast,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,7,25-34,Female,White
2110,Midwest,Never married,Bachelor's degree or higher,No,No,Working part-time,No response,No,7,18-24,Male,White
2111,West,Widowed,College's degree,No,No,Not working,About the same,No,3,75+,Male,White
2112,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,8,55-64,Female,White
2113,Midwest,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,5,65-74,Male,White
2114,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,45-54,Female,White
2115,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,4,55-64,Male,Hispanic
2116,South,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,8,35-44,Female,White
2117,Northeast,Divorced,Bachelor's degree or higher,No,No,Not working,No response,Yes,3,55-64,Female,Other
2118,Northeast,Divorced,College's degree,No,No,Working full-time,No response,No,8,55-64,Female,White
2119,South,Never married,College's degree,No,No,Working part-time,About the same,No,7,25-34,Male,Other
2120,South,Never married,College's degree,No,No,Working full-time,Financial benefits are much larger,No,7,45-54,Male,Black
2121,West,Never married,College's degree,No,No,Working full-time,About the same,No,5,35-44,Male,White
2122,Midwest,Never married,Bachelor's degree or higher,No,No,Not working,No response,Yes,5,65-74,Female,Black
2123,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,35-44,Female,Other
2124,Midwest,Never married,High school graduate,No,No,Not working,No response,No,4,25-34,Male,White
2125,West,Now married,College's degree,No,No,Working full-time,Financial costs are somewhat larger,No,7,45-54,Male,White
2126,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,9,45-54,Male,White
2127,Midwest,Now married,High school graduate,No,No,Working full-time,No response,No,8,55-64,Male,White
2128,South,Never married,Bachelor's degree or higher,No,No,Not working,No response,No,9,65-74,Female,White
2129,South,Now married,High school graduate,No,No,Not working,No response,No,7,65-74,Male,Black
2130,Midwest,Divorced,High school graduate,No,No,Not working,No response,No,6,75+,Female,White
2131,Midwest,Now married,High school graduate,No,No,Not working,No response,No,4,65-74,Male,White
2132,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,7,35-44,Female,White
2133,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,10 - Completely satisfied,75+,Male,Other
2134,South,Now married,No high school diploma,No,No,Not working,No response,No,5,35-44,Female,Hispanic
2135,Midwest,Now married,Bachelor's degree or higher,No,Yes,Working part-time,No response,No response,9,25-34,Male,Hispanic
2136,Midwest,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,7,35-44,Female,White
2137,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,4,55-64,Female,Other
2138,South,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,35-44,Female,White
2139,South,Now married,High school graduate,No,No,Working full-time,No response,No,10 - Completely satisfied,55-64,Male,Hispanic
2140,Northeast,Widowed,College's degree,No,No,Working full-time,Financial costs are much larger,Yes,8,55-64,Female,White
2141,Midwest,Now married,College's degree,No,No,Not working,No response,No,8,75+,Female,White
2142,South,Never married,College's degree,No,Yes,Working part-time,Financial costs are somewhat larger,No response,2,25-34,Female,Black
2143,South,Now married,High school graduate,No,No,Not working,Financial benefits are much larger,No,8,75+,Female,White
2144,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,9,45-54,Male,Other
2145,Northeast,Separated,High school graduate,No,No,Not working,About the same,No,10 - Completely satisfied,55-64,Female,Black
2146,Midwest,Divorced,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,8,25-34,Female,White
2147,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,6,55-64,Male,White
2148,South,Now married,College's degree,No,No,Not working,Financial benefits are somewhat larger,No,3,55-64,Female,White
2149,Midwest,Now married,No high school diploma,"Yes, as a part-time student",Yes,Working full-time,No response,No response,1,25-34,Female,White
2150,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,65-74,Male,White
2151,Northeast,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,7,75+,Male,White
2152,Northeast,Divorced,College's degree,No,No,Not working,No response,No,5,75+,Male,Other
2153,Midwest,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,6,65-74,Female,White
2154,South,Never married,High school graduate,No,No,Not working,No response,No,10 - Completely satisfied,65-74,Female,Black
2155,West,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,5,55-64,Female,Other
2156,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,6,35-44,Male,White
2157,Midwest,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,8,25-34,Male,Black
2158,South,Never married,High school graduate,No,No,Working full-time,Financial costs are much larger,No,4,55-64,Male,White
2159,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,8,75+,Female,Other
2160,South,Now married,College's degree,No,No,Not working,About the same,No,8,65-74,Female,White
2161,Midwest,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,8,75+,Male,White
2162,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,55-64,Male,White
2163,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,10 - Completely satisfied,45-54,Male,Hispanic
2164,South,Now married,College's degree,No,No,Not working,About the same,No,7,65-74,Male,White
2165,South,Now married,High school graduate,No,No,Not working,No response,No,5,55-64,Female,White
2166,South,Never married,No high school diploma,No,No,Not working,No response,No,5,55-64,Male,White
2167,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,2,25-34,Male,White
2168,Midwest,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,5,45-54,Female,White
2169,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,9,55-64,Male,Other
2170,Midwest,Now married,High school graduate,No,No,Working full-time,No response,No,6,65-74,Male,White
2171,Northeast,Divorced,High school graduate,No,No,Working part-time,No response,No,0 - Not at all satisfied,55-64,Female,White
2172,Northeast,Now married,High school graduate,No,No,Working full-time,About the same,No,7,65-74,Female,White
2173,Northeast,Now married,High school graduate,No,No,Working part-time,About the same,No,8,55-64,Female,White
2174,Midwest,Now married,College's degree,No,No,Working full-time,No response,No,9,55-64,Male,White
2175,West,Now married,College's degree,No,No,Working full-time,No response,No,6,45-54,Male,White
2176,South,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,Yes,8,45-54,Female,White
2177,Midwest,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,9,65-74,Male,White
2178,South,Now married,High school graduate,No,No,Working full-time,No response,No,7,55-64,Female,White
2179,Midwest,Now married,College's degree,No,No,Working full-time,Financial costs are somewhat larger,No,6,55-64,Male,White
2180,Northeast,Never married,College's degree,No,No,Working full-time,No response,No,9,25-34,Male,White
2181,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,35-44,Male,White
2182,West,Widowed,Bachelor's degree or higher,No,No,Not working,No response,No,4,75+,Male,White
2183,Northeast,Never married,College's degree,No,Yes,Working part-time,No response,No response,5,25-34,Female,Black
2184,South,Now married,High school graduate,No,No,Not working,No response,No,7,65-74,Female,White
2185,West,Now married,High school graduate,No,No,Not working,No response,No,5,35-44,Female,Hispanic
2186,West,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,9,25-34,Female,White
2187,South,Now married,High school graduate,No,No,Not working,No response,No,0 - Not at all satisfied,75+,Female,White
2188,Northeast,Now married,College's degree,No,No,Not working,Financial costs are somewhat larger,No,8,55-64,Female,White
2189,South,Now married,College's degree,No,No,Not working,Financial costs are much larger,No,8,65-74,Female,White
2190,Midwest,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,8,65-74,Female,White
2191,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,9,75+,Female,White
2192,South,Now married,College's degree,No,No,Not working,No response,No,10 - Completely satisfied,55-64,Female,White
2193,Northeast,Now married,High school graduate,No,No,Not working,No response,No,7,65-74,Male,White
2194,Midwest,Now married,High school graduate,No,No,Not working,No response,No,5,75+,Male,White
2195,Northeast,Now married,College's degree,No,No,Working full-time,Financial benefits are somewhat larger,No,8,25-34,Male,Hispanic
2196,Midwest,Divorced,College's degree,No,No,Not working,Financial costs are somewhat larger,Yes,3,65-74,Female,Black
2197,South,Never married,High school graduate,No,No,Working part-time,No response,No,5,35-44,Male,Black
2198,West,Divorced,Bachelor's degree or higher,No,No,Not working,No response,No,8,75+,Female,White
2199,West,Never married,High school graduate,No,Yes,Working full-time,Financial costs are much larger,No response,3,35-44,Male,Black
2200,West,Never married,College's degree,"Yes, as a full-time student",No,Not working,No response,Yes,5,25-34,Male,Other
2201,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,35-44,Male,White
2202,Northeast,Never married,High school graduate,No,No,Not working,No response,No,4,25-34,Male,Other
2203,South,Now married,College's degree,No,Yes,Working full-time,No response,No response,4,25-34,Female,Black
2204,South,Never married,College's degree,No,No,Working full-time,No response,No,7,35-44,Female,Black
2205,Midwest,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,6,25-34,Male,White
2206,South,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,7,25-34,Female,White
2207,West,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,10 - Completely satisfied,55-64,Female,White
2208,West,Divorced,College's degree,No,No,Working full-time,Financial costs are somewhat larger,Yes,8,65-74,Male,Black
2209,South,Now married,High school graduate,No,No,Working part-time,No response,No,5,65-74,Female,White
